"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Mar 13 21:04:05 GMT+07:00 2021","Sat Mar 13 21:04:09 GMT+07:00 2021","3800","module_5","test_product_page","TestProductPage","","","test_guest_can_add_product_to_basket[offer5]",""
"passed","Sat Mar 13 21:05:39 GMT+07:00 2021","Sat Mar 13 21:05:51 GMT+07:00 2021","12730","module_5","test_product_page","TestProductPage","","","test_guest_cant_see_product_in_basket_opened_from_product_page",""
"skipped","Sat Mar 13 21:04:50 GMT+07:00 2021","Sat Mar 13 21:04:53 GMT+07:00 2021","3199","module_5","test_product_page","TestProductPage","","","test_guest_cant_see_success_message_after_adding_product_to_basket",""
"passed","Sat Mar 13 21:06:04 GMT+07:00 2021","Sat Mar 13 21:06:17 GMT+07:00 2021","13623","module_5","test_product_page","TestUserAddToBasketFromProductPage","","","test_guest_cant_see_success_message",""
"passed","Sat Mar 13 21:04:32 GMT+07:00 2021","Sat Mar 13 21:04:35 GMT+07:00 2021","3039","module_5","test_product_page","TestProductPage","","","test_guest_can_add_product_to_basket[offer8]",""
"passed","Sat Mar 13 21:04:41 GMT+07:00 2021","Sat Mar 13 21:04:45 GMT+07:00 2021","3777","module_5","test_product_page","TestProductPage","","","test_guest_can_add_product_to_basket[offer9]",""
"passed","Sat Mar 13 21:03:38 GMT+07:00 2021","Sat Mar 13 21:03:43 GMT+07:00 2021","4631","module_5","test_product_page","TestProductPage","","","test_guest_can_add_product_to_basket[offer2]",""
"passed","Sat Mar 13 21:05:32 GMT+07:00 2021","Sat Mar 13 21:05:33 GMT+07:00 2021","1741","module_5","test_product_page","TestProductPage","","","test_guest_can_go_to_login_page_from_product_page",""
"passed","Sat Mar 13 21:03:03 GMT+07:00 2021","Sat Mar 13 21:03:16 GMT+07:00 2021","12697","module_5","test_main_page","TestMainPage","","","test_guest_cant_see_product_in_basket_opened_from_main_page",""
"passed","Sat Mar 13 21:02:49 GMT+07:00 2021","Sat Mar 13 21:02:51 GMT+07:00 2021","2353","module_5","test_main_page","TestMainPage","","","test_guest_can_go_to_login_page",""
"passed","Sat Mar 13 21:03:21 GMT+07:00 2021","Sat Mar 13 21:03:24 GMT+07:00 2021","2939","module_5","test_product_page","TestProductPage","","","test_guest_can_add_product_to_basket[offer0]",""
"passed","Sat Mar 13 21:05:24 GMT+07:00 2021","Sat Mar 13 21:05:26 GMT+07:00 2021","2733","module_5","test_product_page","TestProductPage","","","test_guest_should_see_login_link_on_product_page",""
"passed","Sat Mar 13 21:03:48 GMT+07:00 2021","Sat Mar 13 21:03:52 GMT+07:00 2021","3852","module_5","test_product_page","TestProductPage","","","test_guest_can_add_product_to_basket[offer3]",""
"passed","Sat Mar 13 21:03:57 GMT+07:00 2021","Sat Mar 13 21:04:00 GMT+07:00 2021","2865","module_5","test_product_page","TestProductPage","","","test_guest_can_add_product_to_basket[offer4]",""
"passed","Sat Mar 13 21:02:56 GMT+07:00 2021","Sat Mar 13 21:02:58 GMT+07:00 2021","1596","module_5","test_main_page","TestMainPage","","","test_guest_should_see_login_link_on_main_page",""
"passed","Sat Mar 13 21:04:59 GMT+07:00 2021","Sat Mar 13 21:05:10 GMT+07:00 2021","11731","module_5","test_product_page","TestProductPage","","","test_guest_cant_see_success_message",""
"passed","Sat Mar 13 21:04:14 GMT+07:00 2021","Sat Mar 13 21:04:18 GMT+07:00 2021","3571","module_5","test_product_page","TestProductPage","","","test_guest_can_add_product_to_basket[offer6]",""
"skipped","Sat Mar 13 21:05:16 GMT+07:00 2021","Sat Mar 13 21:05:18 GMT+07:00 2021","2517","module_5","test_product_page","TestProductPage","","","test_message_disappeared_after_adding_product_to_basket",""
"passed","Sat Mar 13 21:03:30 GMT+07:00 2021","Sat Mar 13 21:03:32 GMT+07:00 2021","2752","module_5","test_product_page","TestProductPage","","","test_guest_can_add_product_to_basket[offer1]",""
"skipped","Sat Mar 13 21:04:23 GMT+07:00 2021","Sat Mar 13 21:04:27 GMT+07:00 2021","3496","module_5","test_product_page","TestProductPage","","","test_guest_can_add_product_to_basket[offer7]",""
"passed","Sat Mar 13 21:06:30 GMT+07:00 2021","Sat Mar 13 21:06:33 GMT+07:00 2021","3324","module_5","test_product_page","TestUserAddToBasketFromProductPage","","","test_user_can_add_product_to_basket",""
